model,comparison,baseline_stage,candidate_stage,level,metric,pairs,baseline_mean,candidate_mean,absolute_change,relative_change,bootstrap_ci_low,bootstrap_ci_high,wins,ties,losses,test,statistic,p_value
surya,raw_to_run_1,raw,run_1,word,cer,501,0.8041973043792161,0.8902608720187186,0.08606356763950251,0.10701797577640172,0.059947842379335814,0.11341631210880135,66,274,161,wilcoxon,6542.5,1.0595212320511986e-10
surya,raw_to_run_1,raw,run_1,word,wer,501,1.2974051896207586,1.3852295409181636,0.08782435129740507,0.0676923076923076,0.021956087824351298,0.15169660678642716,48,373,80,wilcoxon,3042.0,0.006318099238177081
surya,raw_to_run_1,raw,run_1,word,exact_match,501,0.02594810379241517,0.013972055888223553,-0.011976047904191616,-0.4615384615384615,-0.023952095808383235,0.0,2,491,8,wilcoxon,11.0,0.057779571123597245
surya,raw_to_run_1,raw,run_1,word,missing_output,501,0.49700598802395207,0.48502994011976047,-0.0119760479041916,-0.02409638554216864,-0.05588822355289421,0.033932135728542916,66,375,60,wilcoxon,3810.0,0.5929800980174267
surya,raw_to_run_1,raw,run_1,word,runtime,501,20.372804456818574,18.533615219886194,-1.8391892369323806,-0.09027668433330603,-3.290395302340719,-0.38434970402952734,413,0,88,wilcoxon,30018.0,3.868169907655684e-24
surya,raw_to_run_1,raw,run_1,page,cer,21,0.6886125723418428,0.7226943657529464,0.03408179341110362,0.04949342312353927,0.013914577556282014,0.05391794578092256,4,2,15,wilcoxon,25.0,0.004848166082515941
surya,raw_to_run_1,raw,run_1,page,wer,21,1.0220771499032368,1.0918737060041408,0.06979655610090396,0.06828893113158024,0.003074396617874892,0.1460215738367912,2,10,9,wilcoxon,11.0,0.05034679506473419
surya,raw_to_run_1,raw,run_1,page,exact_match,21,0.0,0.0,0.0,nan,0.0,0.0,0,21,0,wilcoxon,0.0,1.0
surya,raw_to_run_1,raw,run_1,page,missing_output,21,0.49893969959187345,0.4871830665308926,-0.011756633060980848,-0.023563234335928027,-0.065657690135951,0.03731077135424959,7,6,8,wilcoxon,58.0,0.909488229399474
surya,raw_to_run_1,raw,run_1,page,runtime,21,486.0369063269574,442.1591059601421,-43.877800366815336,-0.09027668433330596,-138.1233144795681,61.57914555023754,16,0,5,wilcoxon,78.0,0.20291709899902344
surya,run_1_to_run_2,run_1,run_2,word,cer,501,0.8902608720187186,0.9023303738084701,0.012069501789751524,0.013557264133582804,-0.06128642884537056,0.13377840091991883,113,311,77,wilcoxon,6918.0,0.0045279475098172215
surya,run_1_to_run_2,run_1,run_2,word,wer,501,1.3852295409181636,1.343313373253493,-0.041916167664670656,-0.03025936599423631,-0.11377245508982035,0.041916167664670656,63,397,41,wilcoxon,2136.0,0.03936116055387741
surya,run_1_to_run_2,run_1,run_2,word,exact_match,501,0.013972055888223553,0.017964071856287425,0.003992015968063872,0.2857142857142857,-0.005988023952095809,0.013972055888223553,4,495,2,wilcoxon,7.0,0.4142161782425253
surya,run_1_to_run_2,run_1,run_2,word,missing_output,501,0.48502994011976047,0.5089820359281437,0.023952095808383256,0.04938271604938276,-0.013972055888223553,0.06187624750499002,41,407,53,wilcoxon,1947.5,0.21582528071600926
