page_key,split,writer_id,page_id,ocr_model,input_kind,detected_error_count,flagged_region_count,flagged_region_rate,rejected_detection_count,missing_or_error_words,missing_word_rate,input_tokens,output_tokens,total_tokens
test_9_13,test,9,13,surya,raw,6,6,0.42857142857142855,0,10,0.4166666666666667,650,289,939
test_9_53,test,9,53,surya,raw,4,4,0.3333333333333333,0,12,0.5,642,220,862
test_9_65,test,9,65,surya,raw,5,5,0.35714285714285715,2,12,0.46153846153846156,659,431,1090
test_9_91,test,9,91,surya,raw,7,7,0.4666666666666667,0,11,0.4230769230769231,643,334,977
test_9_166,test,9,166,surya,raw,7,7,0.4117647058823529,0,8,0.32,649,400,1049
test_9_249,test,9,249,surya,raw,3,3,0.3,0,14,0.5833333333333334,632,195,827
test_9_252,test,9,252,surya,raw,2,2,0.13333333333333333,0,10,0.4,641,118,759
test_9_393,test,9,393,surya,raw,3,3,0.2727272727272727,0,13,0.5416666666666666,632,194,826
test_12_48,test,12,48,surya,raw,8,8,0.7272727272727273,0,13,0.5416666666666666,655,437,1092
test_12_70,test,12,70,surya,raw,7,7,0.5,0,11,0.44,649,399,1048
test_12_113,test,12,113,surya,raw,7,7,0.5833333333333334,0,13,0.52,656,349,1005
test_12_125,test,12,125,surya,raw,9,9,0.6,0,8,0.34782608695652173,644,355,999
test_12_131,test,12,131,surya,raw,7,7,0.7,0,15,0.6,655,379,1034
test_12_165,test,12,165,surya,raw,9,9,1.0,0,11,0.55,634,604,1238
test_12_191,test,12,191,surya,raw,5,5,0.45454545454545453,0,15,0.5769230769230769,655,288,943
test_12_195,test,12,195,surya,raw,9,9,0.47368421052631576,1,5,0.20833333333333334,655,537,1192
test_13_2,test,13,2,surya,raw,4,4,0.4444444444444444,0,17,0.6538461538461539,662,151,813
test_13_7,test,13,7,surya,raw,4,4,0.4444444444444444,0,13,0.5909090909090909,645,249,894
test_13_9,test,13,9,surya,raw,2,2,0.16666666666666666,0,11,0.4782608695652174,643,141,784
test_13_12,test,13,12,surya,raw,4,4,0.5714285714285714,0,16,0.6956521739130435,634,218,852
test_13_13,test,13,13,surya,raw,3,3,0.42857142857142855,0,17,0.7083333333333334,635,161,796
test_13_23,test,13,23,surya,raw,1,1,0.25,0,19,0.8260869565217391,629,93,722
