page_key,split,writer_id,page_id,ocr_model,input_kind,detected_error_count,flagged_region_count,flagged_region_rate,rejected_detection_count,missing_or_error_words,missing_word_rate,input_tokens,output_tokens,total_tokens
test_9_13,test,9,13,tesseract,raw,5,5,1.0,0,19,0.7916666666666666,645,313,958
test_9_53,test,9,53,tesseract,raw,11,11,0.8461538461538461,0,11,0.4583333333333333,659,487,1146
test_9_65,test,9,65,tesseract,raw,5,5,0.7142857142857143,0,19,0.7307692307692307,668,244,912
test_9_91,test,9,91,tesseract,raw,12,12,0.8,0,11,0.4230769230769231,683,713,1396
test_9_166,test,9,166,tesseract,raw,3,3,0.5,0,19,0.76,645,166,811
test_9_249,test,9,249,tesseract,raw,5,5,0.5555555555555556,0,15,0.625,646,286,932
test_9_252,test,9,252,tesseract,raw,6,6,0.75,0,17,0.68,653,295,948
test_9_393,test,9,393,tesseract,raw,7,7,0.5833333333333334,0,12,0.5,652,292,944
test_12_48,test,12,48,tesseract,raw,9,9,0.75,1,12,0.5,654,424,1078
test_12_70,test,12,70,tesseract,raw,3,3,0.6,0,20,0.8,654,167,821
test_12_113,test,12,113,tesseract,raw,6,6,0.5454545454545454,0,14,0.56,658,346,1004
test_12_125,test,12,125,tesseract,raw,5,5,0.625,0,15,0.6521739130434783,640,241,881
test_12_131,test,12,131,tesseract,raw,10,10,0.7692307692307693,0,12,0.48,682,479,1161
test_12_165,test,12,165,tesseract,raw,3,3,0.3333333333333333,0,11,0.55,611,145,756
test_12_191,test,12,191,tesseract,raw,6,6,0.5454545454545454,0,15,0.5769230769230769,665,409,1074
test_12_195,test,12,195,tesseract,raw,6,6,0.6,2,14,0.5833333333333334,658,447,1105
test_13_2,test,13,2,tesseract,raw,0,0,0.0,0,25,0.9615384615384616,648,5,653
test_13_7,test,13,7,tesseract,raw,0,0,0,0,22,1.0,622,5,627
test_13_9,test,13,9,tesseract,raw,2,2,1.0,0,21,0.9130434782608695,626,109,735
test_13_12,test,13,12,tesseract,raw,0,0,0.0,0,22,0.9565217391304348,630,5,635
test_13_13,test,13,13,tesseract,raw,0,0,0.0,0,21,0.875,637,5,642
test_13_23,test,13,23,tesseract,raw,1,1,0.3333333333333333,0,20,0.8695652173913043,635,70,705
test_13_24,test,13,24,tesseract,raw,0,0,0.0,0,21,0.9130434782608695,623,5,628
test_13_32,test,13,32,tesseract,raw,1,1,1.0,0,25,0.9615384615384616,648,55,703
val_4_69,val,4,69,tesseract,raw,2,2,0.6666666666666666,0,25,0.8928571428571429,662,98,760
val_4_149,val,4,149,tesseract,raw,0,0,0,0,24,1.0,636,5,641
val_4_155,val,4,155,tesseract,raw,0,0,0,0,24,1.0,636,5,641
val_4_189,val,4,189,tesseract,raw,7,7,0.7,0,11,0.5238095238095238,633,395,1028
val_4_206,val,4,206,tesseract,raw,4,4,0.6666666666666666,0,19,0.76,644,215,859
val_4_219,val,4,219,tesseract,raw,1,1,0.5,0,20,0.9090909090909091,630,86,716
val_4_233,val,4,233,tesseract,raw,2,2,1.0,0,20,0.9090909090909091,624,146,770
val_4_238,val,4,238,tesseract,raw,2,2,0.5,0,20,0.8333333333333334,636,145,781
val_10_53,val,10,53,tesseract,raw,3,3,0.75,0,21,0.84,649,170,819
val_10_89,val,10,89,tesseract,raw,3,3,0.6,0,18,0.782608695652174,636,171,807
val_10_108,val,10,108,tesseract,raw,3,3,0.5,0,16,0.7272727272727273,618,143,761
val_10_179,val,10,179,tesseract,raw,2,2,0.3333333333333333,0,20,0.7692307692307693,649,114,763
val_10_350,val,10,350,tesseract,raw,6,6,0.8571428571428571,0,17,0.7083333333333334,652,391,1043
val_10_386,val,10,386,tesseract,raw,5,5,1.0,0,19,0.7916666666666666,642,309,951
val_10_469,val,10,469,tesseract,raw,2,2,0.6666666666666666,0,21,0.875,638,129,767
val_10_480,val,10,480,tesseract,raw,1,1,1.0,0,23,0.9583333333333334,634,50,684
