configuration,reference_character,hypothesis_character,count
tesseract/processed,ి, ,35
tesseract/processed,ి,ీ,29
tesseract/processed,్, ,29
tesseract/processed,ా, ,25
tesseract/processed,ా,ో,24
tesseract/processed,ా,ొ,23
tesseract/raw,ి,ీ,22
surya/processed,ి,ు,18
tesseract/processed,ి,ం,18
tesseract/processed,న,గ,18
tesseract/processed,క,ర,17
tesseract/processed,ా,ౌ,17
tesseract/processed,చ,ర,17
tesseract/processed,ు, ,16
tesseract/processed,ా,ూ,16
surya/processed,ు, ,15
surya/processed,ం, ,15
surya/processed,ి, ,15
surya/processed,ా, ,15
surya/processed,ో,ా,15
tesseract/processed,త, ,15
surya/processed,ి,ా,14
surya/processed,ి,్,14
tesseract/processed,ం, ,14
surya/processed,్,ి,13
surya/processed,చ,బ,13
tesseract/raw,ా,ౌ,13
tesseract/raw,ా,ో,13
tesseract/processed,ి,ో,13
tesseract/processed,స,న,13
tesseract/processed,ి,ు,13
tesseract/processed,ు,ం,13
surya/processed,త,ల,12
tesseract/processed,ి,ా,12
tesseract/processed,ి,‌,12
tesseract/processed,ి,ర,12
tesseract/processed,త,ల,12
surya/raw,ు, ,11
surya/raw,ి,్,11
surya/processed,ర,ద,11
surya/processed,ు,ి,11
surya/processed,డ,ద,11
tesseract/raw,ా,ొ,11
tesseract/processed,ర, ,11
tesseract/processed,ప,వ,11
tesseract/processed,్,ు,11
tesseract/processed,ు,ర,11
tesseract/processed,ల, ,11
tesseract/processed,మ,య,11
tesseract/processed,్,న,11
surya/raw,ి, ,10
surya/processed,త, ,10
surya/processed,ం,ి,10
surya/processed,స,న,10
surya/processed,ి,ీ,10
surya/processed,ా,ౌ,10
tesseract/raw,్, ,10
tesseract/processed,క, ,10
tesseract/processed,ర,త,10
surya/raw,త,ల,9
surya/raw,ు,మ,9
surya/raw,ా, ,9
surya/raw,వ,ప,9
surya/processed,ప,వ,9
surya/processed,్,ా,9
surya/processed,న,స,9
surya/processed,ే,్,9
surya/processed,్,ు,9
surya/processed,ు,ా,9
surya/processed,ం,ా,9
tesseract/processed,ి,ే,9
tesseract/processed,చ, ,9
tesseract/processed,ే,ో,9
tesseract/processed,ర,ల,9
tesseract/processed,న,్,9
tesseract/processed,ే, ,9
tesseract/processed,వ,ర,9
tesseract/processed,ం,౦,9
tesseract/processed,య,ు,9
tesseract/processed,్,ా,9
surya/raw,న,స,8
surya/raw,ు,ి,8
surya/processed,ా,ి,8
surya/processed,ప,మ,8
surya/processed,్,ల,8
surya/processed,ే,ి,8
surya/processed,ద,వ,8
surya/processed,్, ,8
tesseract/processed,్,ీ,8
tesseract/processed,చ,ల,8
tesseract/processed,న,స,8
tesseract/processed,వ,ల,8
tesseract/processed,ల,త,8
tesseract/processed,ో,ా,8
tesseract/processed,ు,‌,8
tesseract/processed,వ, ,8
tesseract/processed,ప, ,8
tesseract/processed,ు,య,8
tesseract/processed,త,న,8
tesseract/processed,ల,ర,8
surya/raw,ి,ు,7
surya/raw,ప,వ,7
surya/raw,ి,ీ,7
surya/raw,డ,ద,7
surya/processed,్,ం,7
surya/processed,ి,‍,7
surya/processed,ద,డ,7
surya/processed,ర,ల,7
surya/processed,స,ర,7
surya/processed,న,ల,7
surya/processed,డ,ర,7
surya/processed,ే,ో,7
surya/processed,న, ,7
surya/processed,వ,ప,7
surya/processed,ి,ే,7
surya/processed,ు,య,7
surya/processed,త,ర,7
surya/processed,ో,్,7
tesseract/raw,ప,వ,7
tesseract/processed,ద,డ,7
tesseract/processed,ప,ట,7
tesseract/processed,ా,్,7
tesseract/processed,ో, ,7
tesseract/processed,క,్,7
tesseract/processed,్,‌,7
tesseract/processed,ు,మ,7
tesseract/processed,ల,్,7
tesseract/processed,య, ,7
tesseract/processed,ప,య,7
tesseract/processed,ు,ట,7
tesseract/processed,న, ,7
tesseract/processed,ి,న,7
tesseract/processed,ం,ర,7
tesseract/processed,త,ర,7
tesseract/processed,స,గ,7
tesseract/processed,ే,ు,7
tesseract/processed,ల,ం,7
surya/raw,ి,ే,6
surya/raw,వ,న,6
surya/raw,ం,ి,6
surya/raw,్, ,6
surya/raw,ం,ా,6
surya/raw,ప,మ,6
surya/processed,ప,ద,6
surya/processed,న,య,6
surya/processed,ి,ో,6
surya/processed,వ,మ,6
surya/processed,ూ,ా,6
surya/processed,న,ర,6
surya/processed,ే,ె,6
surya/processed,మ, ,6
surya/processed,చ,ా,6
surya/processed,ప, ,6
surya/processed,ి,ర,6
surya/processed,ం,‍,6
surya/processed,చ, ,6
surya/processed,ు,్,6
surya/processed,గ,న,6
tesseract/raw,ర,ల,6
tesseract/raw,న,స,6
tesseract/raw,ి, ,6
tesseract/processed,ి,త,6
tesseract/processed,ే,ి,6
tesseract/processed,చ,బ,6
tesseract/processed,్,ల,6
tesseract/processed,న,ర,6
tesseract/processed,త,గ,6
tesseract/processed,మ,్,6
tesseract/processed,ె,ే,6
tesseract/processed,న,ు,6
tesseract/processed,్,య,6
tesseract/processed,మ, ,6
tesseract/processed,ర,శ,6
tesseract/processed,ధ, ,6
tesseract/processed,క,ల,6
tesseract/processed,న,య,6
tesseract/processed,ి,ల,6
tesseract/processed,ప,ు,6
tesseract/processed,మ,క,6
tesseract/processed,ప,ర,6
tesseract/processed,ప,స,6
tesseract/processed,ే,ా,6
tesseract/processed,య,ర,6
tesseract/processed,ర,ద,6
tesseract/processed,ద, ,6
tesseract/processed,ట, ,6
tesseract/processed,న,ం,6
surya/raw,ా,ి,5
surya/raw,త, ,5
surya/raw,ం, ,5
surya/raw,వ, ,5
surya/raw,ో,ా,5
surya/raw,ా,ొ,5
surya/raw,్,ి,5
surya/raw,ప, ,5
surya/raw,ి,ా,5
surya/raw,ే,్,5
surya/raw,చ,బ,5
