model,comparison,image_key,excluded_stage,reason
surya,raw_to_run_1,test/13/13/19,run_1,missing run_1 record
surya,raw_to_run_1,test/13/13/20,run_1,missing run_1 record
surya,raw_to_run_1,test/13/13/21,run_1,missing run_1 record
surya,raw_to_run_1,test/13/13/22,run_1,missing run_1 record
surya,raw_to_run_1,test/13/13/23,run_1,missing run_1 record
surya,raw_to_run_1,test/13/13/24,run_1,missing run_1 record
surya,raw_to_run_1,test/13/23/1,run_1,missing run_1 record
surya,raw_to_run_1,test/13/23/2,run_1,missing run_1 record
surya,raw_to_run_1,test/13/23/3,run_1,missing run_1 record
surya,raw_to_run_1,test/13/23/4,run_1,missing run_1 record
surya,raw_to_run_1,test/13/23/5,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/13/19,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/13/20,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/13/21,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/13/22,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/13/23,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/13/24,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/23/1,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/23/10,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/23/11,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/23/12,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/23/13,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/23/14,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/23/15,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/23/16,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/23/17,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/23/18,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/23/19,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/23/2,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/23/20,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/23/21,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/23/22,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/23/23,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/23/3,run_1,missing run_1 record
surya,run_1_to_run_2,test/13/23/4,run_1,missing run_1 record
