model,comparison,baseline_stage,candidate_stage,page_key,paired_words,baseline_cer,candidate_cer,cer_delta,baseline_wer,candidate_wer,wer_delta,baseline_exact_match,candidate_exact_match,exact_match_delta,baseline_missing_output,candidate_missing_output,missing_output_delta,baseline_runtime,candidate_runtime,runtime_delta
surya,raw_to_run_1,raw,run_1,test_12_113,25,0.6378600823045267,0.5967078189300411,-0.04115226337448563,1.0,1.12,0.1200000000000001,0.0,0.0,0.0,0.52,0.28,-0.24,499.8159683610029,618.1745060299991,118.35853766899618
surya,raw_to_run_1,raw,run_1,test_12_125,23,0.6680327868852459,0.6967213114754098,0.02868852459016391,1.2608695652173914,1.0,-0.26086956521739135,0.0,0.0,0.0,0.34782608695652173,0.43478260869565216,0.08695652173913043,464.8900350859949,975.5438547289723,510.6538196429774
surya,raw_to_run_1,raw,run_1,test_12_131,25,0.7478632478632479,0.7478632478632479,0.0,0.96,0.96,0.0,0.0,0.0,0.0,0.6,0.64,0.04,481.78095651701005,321.71136035598465,-160.0695961610254
surya,raw_to_run_1,raw,run_1,test_12_165,20,0.7326732673267327,0.7970297029702971,0.06435643564356441,1.15,1.05,-0.09999999999999987,0.0,0.0,0.0,0.55,0.55,0.0,539.7557956540077,356.6603003980272,-183.0954952559805
surya,raw_to_run_1,raw,run_1,test_12_191,26,0.7061224489795919,0.7510204081632653,0.04489795918367345,0.9615384615384616,1.0,0.038461538461538436,0.0,0.0,0.0,0.5769230769230769,0.5769230769230769,0.0,510.08883712600436,369.93986769801995,-140.1489694279844
surya,raw_to_run_1,raw,run_1,test_12_195,24,0.5232067510548524,0.5991561181434599,0.07594936708860756,1.4166666666666667,1.5416666666666667,0.125,0.0,0.0,0.0,0.20833333333333334,0.16666666666666666,-0.041666666666666664,488.36887603799914,394.2906749120011,-94.07820112599802
surya,raw_to_run_1,raw,run_1,test_12_48,24,0.6975806451612904,0.7540322580645161,0.056451612903225756,1.0,1.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.5833333333333334,0.041666666666666664,502.7970835800079,382.41884700200035,-120.37823657800755
surya,raw_to_run_1,raw,run_1,test_12_70,25,0.618421052631579,0.6447368421052632,0.02631578947368418,0.88,1.04,0.16000000000000003,0.0,0.0,0.0,0.44,0.44,0.0,475.8938452059956,343.39006474099915,-132.50378046499645
surya,raw_to_run_1,raw,run_1,test_13_12,23,0.7958333333333333,0.7708333333333334,-0.02499999999999991,1.0,1.0,0.0,0.0,0.0,0.0,0.6956521739130435,0.5652173913043478,-0.13043478260869565,493.1441395520087,276.4163129900262,-216.7278265619825
surya,raw_to_run_1,raw,run_1,test_13_13,18,0.7897727272727273,0.875,0.08522727272727271,1.0,1.0,0.0,0.0,0.0,0.0,0.6111111111111112,0.7222222222222222,0.1111111111111111,374.6689801029934,194.86561710003298,-179.8033630029604
surya,raw_to_run_1,raw,run_1,test_13_2,26,0.756198347107438,0.756198347107438,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6538461538461539,0.6153846153846154,-0.038461538461538464,476.444274907004,246.39825709091383,-230.04601781609017
